"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2,891754583E1;1,040877819E0;-1,175474167E0;-7,351349354E0
2,901754583E1;3,946960926E0;-1,186241865E0;-6,989434719E0
2,911754583E1;3,625126362E0;-1,121635628E1;-4,585844517E0
2,921754583E1;3,900300980E0;-1,113858986E1;-6,722635269E0
2,931754583E1;5,003990173E0;-9,013164520E0;-5,829514027E0
2,941754583E1;3,651447296E0;-8,787641525E0;-4,241278172E0
2,951754583E1;6,731009960E0;-7,362715244E0;-9,810572624E0
2,961754583E1;2,634497643E0;-4,188635826E0;-5,374877930E0
2,971754583E1;2,059622049E0;-5,777470112E0;-3,049652576E0
2,981754583E1;1,934597135E0;-4,330410957E0;-5,626124382E0
2,991754583E1;3,785445452E0;-7,055835724E0;-5,341976643E0
3,001754583E1;1,202991605E0;-1,389512062E1;-8,478966713E0
3,011754583E1;1,357328653E0;-1,141137123E1;-5,831906796E0
3,021754583E1;2,295315027E0;-2,493321180E0;-2,264806747E0
3,031754583E1;5,939583778E0;-6,226722717E0;-1,102672482E1
3,041754583E1;7,743772507E0;-4,890331268E0;-7,738388538E0
3,051754583E1;-2,657229662E0;-4,567898273E0;1,834098577E0
3,061754583E1;2,348555326E0;2,030309916E0;-2,454437733E0
3,071754583E1;4,448855400E0;-6,203392506E0;-1,181216908E1
3,081754583E1;1,028913736E0;-5,200799942E0;-4,024727821E0
3,091754583E1;1,223928809E0;-1,816212273E1;-1,192762280E1
3,101754583E1;5,522634506E0;-9,549755096E0;-6,315855503E0
3,111754583E1;5,544169903E0;-1,068814087E1;-6,269195557E0
3,121754583E1;2,330011129E0;-5,883950710E0;-2,319243431E0
3,131754583E1;5,130809784E0;-6,751348972E0;-1,079821014E1
3,141754583E1;-2,298904419E0;-5,120640397E-1;-3,824927092E0
3,151754583E1;3,827918053E0;3,216551781E0;-5,644070625E0
3,161754583E1;5,664409637E0;-9,240483284E0;-9,710074425E0
3,171754583E1;-9,170492887E-1;-4,284946918E0;-7,019943237E0
3,181754583E1;3,655036688E0;-1,620658684E1;-1,575314808E1
3,191754583E1;7,854440212E-1;-1,081555843E1;-2,913261652E0
3,201754583E1;4,454239368E0;-4,697110653E0;-3,183052301E0
3,211754583E1;4,856831551E0;-6,988238335E0;-1,230688477E1
3,221754583E1;-1,055234790E0;1,929811478E0;-2,440679073E-1
