"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
3,779288625E1;-3,162713289E0;-1,295952702E1;-8,608179688E-1
3,789288625E1;-4,953143001E-1;-1,327418327E1;3,525824070E0
3,799288625E1;1,088734269E0;-1,104287624E1;-1,563111424E0
3,809288625E1;-3,575475216E0;-8,542376518E0;-4,235295951E-1
3,819288625E1;-1,079761267E0;-9,421739578E0;2,255235314E-1
3,829288625E1;9,571290612E-1;-1,235713387E1;1,292124242E-1
3,839288625E1;2,222932339E0;-1,223868942E1;-7,932206988E-1
3,849288625E1;-3,196810961E0;-1,274776268E1;-2,644068897E-1
3,859288625E1;1,766501307E0;-1,109073257E1;3,996013701E-1
3,869288625E1;-2,542972326E0;-2,932404041E0;1,235294700E0
3,879288625E1;-1,083350420E0;-7,387241840E0;-2,456232548E0
3,889288625E1;3,404986620E0;-7,886743546E0;-4,487140656E0
3,899288625E1;-1,699502230E0;-1,216690540E1;-7,603194118E-1
3,909288625E1;-1,209571838E0;-9,674181938E0;4,666004181E0
3,919288625E1;-3,122633696E-1;-1,207597733E1;-1,393221021E0
