"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
2,138938774E2;5,201844151E1;5,087629649E0;1,420753525E0;4,770749092E0;2,767102661E2;8,661021233E0;3,763377190E0
2,148935184E2;5,201843347E1;5,087559429E0;1,750427384E0;4,599951744E0;2,749013367E2;6,214374542E0;3,756336689E0
2,158935314E2;5,201843159E1;5,087494808E0;1,991567319E0;4,673632145E0;2,735494995E2;6,788639069E0;3,760282516E0
2,168935554E2;5,201842924E1;5,087427865E0;1,935515813E0;4,800532818E0;2,713120117E2;6,338383675E0;3,802883863E0
2,178935904E2;5,201843211E1;5,087355821E0;2,392390950E0;4,784965515E0;2,706253357E2;6,465666294E0;3,841880322E0
2,188936224E2;5,201843070E1;5,087284532E0;2,627294068E0;4,706148148E0;2,701109619E2;6,740700722E0;3,954854250E0
2,198937274E2;5,201842651E1;5,087221571E0;2,714570590E0;4,556600094E0;2,699127197E2;4,772083282E0;3,814918518E0
2,208936614E2;5,201842570E1;5,087161352E0;3,015305420E0;4,599374771E0;2,685289001E2;6,367755890E0;3,896941662E0
2,218936534E2;5,201842296E1;5,087097001E0;3,402923840E0;4,541446209E0;2,681875000E2;6,399305344E0;4,042670250E0
2,228936794E2;5,201841828E1;5,087023339E0;3,581402153E0;4,799082756E0;2,665759277E2;6,165627956E0;4,065437794E0
