"Time (s)";"Magnetic field x (µT)";"Magnetic field y (µT)";"Magnetic field z (µT)"
3,772937122E1;-1,187791977E2;-1,204505997E2;-2,622145996E2
3,782938233E1;-1,302593994E2;-1,190963974E2;-2,734629822E2
3,792939125E1;-1,320650024E2;-1,178153992E2;-2,759029846E2
3,802940622E1;-1,313329926E2;-1,163025970E2;-2,783429871E2
3,812940745E1;-1,321869965E2;-1,148507996E2;-2,788187866E2
3,822935288E1;-1,311622009E2;-1,118007965E2;-2,791969910E2
3,832939772E1;-1,313085938E2;-1,091167984E2;-2,796484070E2
3,842940615E1;-1,322845917E2;-1,061521988E2;-2,790261841E2
3,852939224E1;-1,324920044E2;-1,042490005E2;-2,763909912E2
3,862938349E1;-1,331873932E2;-1,036146011E2;-2,755003967E2
3,872936461E1;-1,337608032E2;-1,044807968E2;-2,747196045E2
3,882937808E1;-1,332483978E2;-1,045295944E2;-2,737801819E2
3,892939298E1;-1,332727966E2;-1,050298004E2;-2,731701965E2
3,902940580E1;-1,326261902E2;-1,046881943E2;-2,738289795E2
3,912935766E1;-1,324920044E2;-1,041269989E2;-2,753905945E2
3,922937049E1;-1,308815918E2;-1,034437943E2;-2,741828003E2
