"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (°)"
1,975537654E2;5,235409440E1;4,898381959E0;2,305785812E0;1,069936329E1;2,523337659E2;5,107282344E0;2,782122228E0
1,985537611E2;5,235405759E1;4,898216991E0;2,207517320E0;1,112949194E1;2,519078043E2;5,111079668E0;2,775139935E0
1,995537553E2;5,235402751E1;4,898052048E0;2,372755268E0;1,150586442E1;2,527695721E2;5,057614801E0;2,871422914E0
2,005537512E2;5,235398523E1;4,897860834E0;1,934522267E0;1,231085318E1;2,518267381E2;5,044054164E0;2,895177823E0
2,015537467E2;5,235394952E1;4,897688162E0;1,891898226E0;1,255599159E1;2,510341955E2;5,132189046E0;2,735904352E0
2,025537409E2;5,235391839E1;4,897505170E0;1,931527744E0;1,275550217E1;2,523268137E2;5,128761034E0;2,742325161E0
2,035537360E2;5,235387619E1;4,897307758E0;2,184703281E0;1,327954363E1;2,521894544E2;5,133066813E0;2,734257144E0
2,045537318E2;5,235383238E1;4,897108765E0;1,286615964E0;1,362143278E1;2,518321645E2;5,183632492E0;2,637136936E0
2,055537261E2;5,235379371E1;4,896909134E0;1,434781253E0;1,367303388E1;2,524792916E2;5,186340862E0;2,631806508E0
2,065537220E2;5,235374105E1;4,896707578E0;1,747143202E0;1,368534222E1;2,515505028E2;5,107798027E0;2,781175354E0
2,075537162E2;5,235370623E1;4,896524747E0;1,092578969E0;1,337855811E1;2,519238264E2;5,116541963E0;2,765056125E0
2,085537109E2;5,235367080E1;4,896353144E0;8,145117313E-1;1,265220715E1;2,511386243E2;5,124938383E0;2,749462421E0
2,095537066E2;5,235363123E1;4,896187257E0;9,766539223E-1;1,204396634E1;2,499525562E2;5,144492861E0;2,712697963E0
2,105537016E2;5,235360516E1;4,896040332E0;1,324317443E0;1,110419857E1;2,512544663E2;5,077150537E0;2,836737466E0
2,115536963E2;5,235357458E1;4,895919755E0;1,528630418E0;1,004684622E1;2,510458036E2;5,081875214E0;2,828264722E0
