Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Illuminance (lx),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Pressure (hPa),Distance (cm),Temperature (°C)
"1,029403592E2",,,,,,,,,,,,,,,,,,"-4,190699768E1","9,772199631E0","8,857199669E0",,,
"1,029816349E2",,,,"-1,241430879E0","-9,358455539E-1","-1,538311362E0",,,,,,,,,,,,,,,,,
"1,029939519E2","4,648656368E0","-5,093122959E0","-1,364507079E0",,,,,,,,,,,,,,,,,,,,
"1,030055599E2",,,,,,,,,,,,,,,,,,,,,"1,010848450E3",,
"1,030104138E2",,,,,,,,,,,,,,,,,,,,,,,"3,285156250E1"
"1,030121840E2",,,,,,,,,,,,,,,,,,,,,,"0,000000000E0",
"1,030245684E2",,,,,,,,"-1,362382650E0","-1,293348312E0","-1,292376518E-1",,,,,,,,,,,,,
"1,030403592E2",,,,,,,,,,,,,,,,,,"-4,205339813E1","3,916199923E0","1,133379936E1",,,
"1,030515362E2",,,,,,,,,,,"5,201071172E1","5,094944853E0","3,113096020E0","4,661827087E0","2,186724243E2","5,170464039E0","3,000000000E0",,,,,,
"1,030555995E1",,,,,,,,,,,,,,,,,,,,,"1,011421875E3",,
"1,030816349E2",,,,"2,341141105E-1","8,907942176E-1","5,444336534E-1",,,,,,,,,,,,,,,,,
"1,030939519E2","2,833700180E0","-3,273979664E0","-1,512263894E0",,,,,,,,,,,,,,,,,,,,
"1,031041375E1",,,,,,,,,,,,,,,,,,,,,,,"3,509765625E1"
