"Time (s)";"Pressure (hPa)"
8,101466761E1;1,012869995E3
8,111466761E1;1,013143921E3
8,121466761E1;1,013112854E3
8,131466761E1;1,013112854E3
8,141466761E1;1,013083252E3
8,151466761E1;1,012863892E3
8,161466761E1;1,012719482E3
8,171466761E1;1,012719482E3
8,181466761E1;1,012719482E3
8,191466761E1;1,013000488E3
8,201466761E1;1,012891602E3
8,211466761E1;1,013095093E3
8,221466761E1;1,013095093E3
8,231466761E1;1,013399170E3
8,241466761E1;1,013300476E3
8,251466761E1;1,013111572E3
8,261466761E1;1,013111572E3
8,271466761E1;1,012977051E3
8,281466761E1;1,013345947E3
8,291466761E1;1,012765076E3
8,301466761E1;1,012866577E3
8,311466761E1;1,013170227E3
8,321466761E1;1,013328003E3
8,331466761E1;1,013401367E3
8,341466761E1;1,013401367E3
8,351466761E1;1,012659668E3
8,361466761E1;1,012754700E3
8,371466761E1;1,013143616E3
8,381466761E1;1,013035156E3
8,391466761E1;1,012977295E3
8,401466761E1;1,012995728E3
8,411466761E1;1,013109192E3
8,421466761E1;1,013109192E3
8,431466761E1;1,013349670E3
8,441466761E1;1,013086853E3
8,451466761E1;1,013102295E3
8,461466761E1;1,013102295E3
8,471466761E1;1,013507019E3
8,481466761E1;1,013009949E3
8,491466761E1;1,012706909E3
8,501466761E1;1,012706909E3
8,511466761E1;1,013318787E3
8,521466761E1;1,013338135E3
8,531466761E1;1,013333862E3
8,541466761E1;1,013333862E3
8,551466761E1;1,012664978E3
8,561466761E1;1,013210571E3
8,571466761E1;1,013141724E3
8,581466761E1;1,013141724E3
8,591466761E1;1,012964966E3
8,601466761E1;1,013233643E3
8,611466761E1;1,013363159E3
8,621466761E1;1,013363159E3
8,631466761E1;1,013232666E3
8,641466761E1;1,012568481E3
8,651466761E1;1,012798645E3
8,661466761E1;1,012798645E3
8,671466761E1;1,012974609E3
8,681466761E1;1,012906982E3
